year,reg,sex,x,mx
2003,1124,F,65,0.028146
2003,1124,F,70,0.045418
2003,1124,F,75,0.074796
2003,1124,F,80,0.120161
2003,1124,F,85,0.227613
2003,1129,M,0,0.016219
2003,1129,M,1,0.000619
2003,1129,M,5,0.000414
2003,1129,M,10,0.000543
2003,1129,M,15,0.001404
2003,1129,M,20,0.003735
2003,1129,M,25,0.006009
2003,1129,M,30,0.007164
2003,1129,M,35,0.011465
2003,1129,M,40,0.016229
2003,1129,M,45,0.022598
2003,1129,M,50,0.029301
2003,1129,M,55,0.038287
2003,1129,M,60,0.050466
2003,1129,M,65,0.065082
2003,1129,M,70,0.091937
2003,1129,M,75,0.120253
2003,1129,M,80,0.153073
2003,1129,M,85,0.22875
2003,1129,F,0,0.008205
2003,1129,F,1,0.001226
2003,1129,F,5,0.000241
2003,1129,F,10,0.000348
2003,1129,F,15,0.000501
2003,1129,F,20,0.001242
2003,1129,F,25,0.001754
2003,1129,F,30,0.001791
2003,1129,F,35,0.003246
2003,1129,F,40,0.003712
2003,1129,F,45,0.005761
2003,1129,F,50,0.009169
2003,1129,F,55,0.013055
2003,1129,F,60,0.017927
2003,1129,F,65,0.023393
2003,1129,F,70,0.041998
2003,1129,F,75,0.071376
2003,1129,F,80,0.120493
2003,1129,F,85,0.23984
2003,1134,M,0,0.013874
2003,1134,M,1,0.001231
2003,1134,M,5,0.000834
2003,1134,M,10,0.000745
2003,1134,M,15,0.001624
2003,1134,M,20,0.004405
2003,1134,M,25,0.006922
2003,1134,M,30,0.008987
2003,1134,M,35,0.014009
2003,1134,M,40,0.018155
2003,1134,M,45,0.026835
2003,1134,M,50,0.037899
2003,1134,M,55,0.04363
2003,1134,M,60,0.062137
2003,1134,M,65,0.072655
2003,1134,M,70,0.101525
2003,1134,M,75,0.13385
2003,1134,M,80,0.171349
2003,1134,M,85,0.264872
2003,1134,F,0,0.013823
2003,1134,F,1,0.000684
2003,1134,F,5,0.000266
2003,1134,F,10,0.000308
2003,1134,F,15,0.000957
2003,1134,F,20,0.000667
2003,1134,F,25,0.001448
2003,1134,F,30,0.002646
2003,1134,F,35,0.003307
2003,1134,F,40,0.004748
2003,1134,F,45,0.005691
2003,1134,F,50,0.01017
2003,1134,F,55,0.013829
2003,1134,F,60,0.020585
2003,1134,F,65,0.028475
2003,1134,F,70,0.048039
2003,1134,F,75,0.079787
2003,1134,F,80,0.131522
2003,1134,F,85,0.254541
2003,1138,M,0,0.014157
2003,1138,M,1,0.000593
2003,1138,M,5,0.000425
2003,1138,M,10,0.000299
2003,1138,M,15,0.001495
2003,1138,M,20,0.003202
2003,1138,M,25,0.005755
2003,1138,M,30,0.006686
2003,1138,M,35,0.010202
2003,1138,M,40,0.015156
2003,1138,M,45,0.019806
2003,1138,M,50,0.028248
2003,1138,M,55,0.037792
2003,1138,M,60,0.05287
2003,1138,M,65,0.064971
2003,1138,M,70,0.089945
2003,1138,M,75,0.119933
2003,1138,M,80,0.169866
2003,1138,M,85,0.292955
2003,1138,F,0,0.012079
2003,1138,F,1,0.000623
2003,1138,F,5,0.000186
2003,1138,F,10,0.000261
2003,1138,F,15,0.000535
2003,1138,F,20,0.000957
2003,1138,F,25,0.001257
2003,1138,F,30,0.001999
2003,1138,F,35,0.002189
2003,1138,F,40,0.003295
2003,1138,F,45,0.005194
2003,1138,F,50,0.007448
2003,1138,F,55,0.011213
2003,1138,F,60,0.016093
2003,1138,F,65,0.02553
2003,1138,F,70,0.043396
2003,1138,F,75,0.068468
2003,1138,F,80,0.123749
2003,1138,F,85,0.237662
2003,1142,M,0,0.011124
2003,1142,M,1,0.00056
2003,1142,M,5,0.000368
2003,1142,M,10,0.000432
2003,1142,M,15,0.001567
2003,1142,M,20,0.003812
2003,1142,M,25,0.005458
2003,1142,M,30,0.007062
2003,1142,M,35,0.010748
2003,1142,M,40,0.013758
2003,1142,M,45,0.021363
2003,1142,M,50,0.027205
